Account Name,Industry,Employee range,State (Bill to Address) (Address),Website,Main Phone,LinkedIn Company ID,SFDC ID,Status Result
CES Transformers,Utilities Administration,51-200,ON,cestransformers.com,+1 905-474-0777,99358618.0,0016Q00001idvlCQAQ,No clear status found
Cypress Holdings Ltd,"Appliances, Electrical, and Electronics Manufacturing",201-500,TX,http://www.cypressindustries.com/,+1 512-637-2540,73449.0,0016000000skQtEAAU,No clear status found
Getaccept Inc.,Software Development,10-Feb,CA,http://www.getaccept.com,+1 323-870-1200,10154116.0,0010d00001JB8GnAAL,No clear status found
"Coleman World Group, L.L.C.",Truck Transportation,1001-5000,AL,http://www.colemanwg.com,+1 334-803-8888,948871.0,0016000000m47VQAAY,No clear status found
Conestoga Wood Specialties Corporation,Wholesale Building Materials,1001-5000,PA,http://www.conestogawood.com,+1 717-445-6701,88888.0,0016000000Q8H5XAAV,No clear status found
Insight Equity Holdings LLC,Investment Management,1001-5000,TX,http://www.insightequity.com,+1 817-488-7775,103424.0,0016000000Q8IOCAA3,No clear status found
"Freezing Point, LLC",Food and Beverage Services,Nov-50,UT,http://www.frazil.com,+1 801-940-7205,9853153.0,0013200001GNpgaAAD,No clear status found
Continental Grain Company Corp.,Investment Management,10001+,NY,http://continentalgrain.com/,+1 212-207-5100,1844363.0,0016000000Q8J59AAF,No clear status found
"Campus Apartments, LLC",Real Estate,501-1000,PA,http://www.campusapartments.com,+1 215-243-7000,58452.0,0016000000QAiKxAAL,No clear status found
Westmont Hospitality Management Limited,Hospitality,51-200,ON,http://www.whg.com,+1 905-629-3400,30785.0,0016000000T9PY6AAN,No clear status found
Impact Group,Human Resources Services,51-200,MO,http://www.impactgrouphr.com,+1 314-453-9002,164328.0,0016000000UiBiPAAV,No clear status found
"Canadian Press, The",Online Audio and Video Media,201-500,ON,http://www.thecanadianpress.com,+1 416-507-2074,27448.0,0016000000T9SB0AAN,No clear status found
"Telluride Ski & Golf Company, Lllp",Travel Arrangements,201-500,CO,http://www.tellurideskiresort.com,+1 970-728-3856,107582.0,0016000000T9SS8AAN,No clear status found
Burnbrae Farms Limited,Food and Beverage Manufacturing,501-1000,ON,http://www.burnbraefarms.com,+1 613-345-5651,806776.0,0016000000Ukq5LAAR,No clear status found
Janus Automation,Automation Machinery Manufacturing,201-500,PA,http://www.janusautomation.com,+1 412-928-1787,403578.0,0016000000VuwHNAAZ,No clear status found
"Wurtec, Incorporated",Construction,51-200,OH,http://www.wurtec.com,+1 419-726-1066,251217.0,0016000000dCJvaAAG,No clear status found
"Medrio, Inc.",Software Development,51-200,CA,http://www.medrio.com,+1 415-963-3700,132347.0,0016000000eveISAAY,No clear status found
"Clark Construction Company, Inc.",Construction,51-200,MI,http://www.clarkcc.com,+1 517-372-0940,564485.0,0016000000ex4YxAAI,No clear status found
Prolim Global Corporation,IT Services and IT Consulting,201-500,MI,http://www.prolim.com,+1 888-977-6546,2261227.0,0016000000flrSUAAY,No clear status found
