Account Name,Industry,Employee range,State (Bill to Address) (Address),Website,Main Phone,LinkedIn Company ID,SFDC ID
CES Transformers,Utilities Administration,51-200,ON,cestransformers.com,+1 905-474-0777,99358618,0016Q00001idvlCQAQ
Cypress Holdings Ltd,"Appliances, Electrical, and Electronics Manufacturing",201-500,TX,http://www.cypressindustries.com/,+1 512-637-2540,73449,0016000000skQtEAAU
Getaccept Inc.,Software Development,10-Feb,CA,http://www.getaccept.com,+1 323-870-1200,10154116,0010d00001JB8GnAAL
"Coleman World Group, L.L.C.",Truck Transportation,1001-5000,AL,http://www.colemanwg.com,+1 334-803-8888,948871,0016000000m47VQAAY
Conestoga Wood Specialties Corporation,Wholesale Building Materials,1001-5000,PA,http://www.conestogawood.com,+1 717-445-6701,88888,0016000000Q8H5XAAV
Insight Equity Holdings LLC,Investment Management,1001-5000,TX,http://www.insightequity.com,+1 817-488-7775,103424,0016000000Q8IOCAA3
"Freezing Point, LLC",Food and Beverage Services,Nov-50,UT,http://www.frazil.com,+1 801-940-7205,9853153,0013200001GNpgaAAD
Continental Grain Company Corp.,Investment Management,10001+,NY,http://continentalgrain.com/,+1 212-207-5100,1844363,0016000000Q8J59AAF
"Campus Apartments, LLC",Real Estate,501-1000,PA,http://www.campusapartments.com,+1 215-243-7000,58452,0016000000QAiKxAAL
Westmont Hospitality Management Limited,Hospitality,51-200,ON,http://www.whg.com,+1 905-629-3400,30785,0016000000T9PY6AAN
Impact Group,Human Resources Services,51-200,MO,http://www.impactgrouphr.com,+1 314-453-9002,164328,0016000000UiBiPAAV
"Canadian Press, The",Online Audio and Video Media,201-500,ON,http://www.thecanadianpress.com,+1 416-507-2074,27448,0016000000T9SB0AAN
"Telluride Ski & Golf Company, Lllp",Travel Arrangements,201-500,CO,http://www.tellurideskiresort.com,+1 970-728-3856,107582,0016000000T9SS8AAN
Burnbrae Farms Limited,Food and Beverage Manufacturing,501-1000,ON,http://www.burnbraefarms.com,+1 613-345-5651,806776,0016000000Ukq5LAAR
Janus Automation,Automation Machinery Manufacturing,201-500,PA,http://www.janusautomation.com,+1 412-928-1787,403578,0016000000VuwHNAAZ
"Wurtec, Incorporated",Construction,51-200,OH,http://www.wurtec.com,+1 419-726-1066,251217,0016000000dCJvaAAG
"Medrio, Inc.",Software Development,51-200,CA,http://www.medrio.com,+1 415-963-3700,132347,0016000000eveISAAY
"Clark Construction Company, Inc.",Construction,51-200,MI,http://www.clarkcc.com,+1 517-372-0940,564485,0016000000ex4YxAAI
Prolim Global Corporation,IT Services and IT Consulting,201-500,MI,http://www.prolim.com,+1 888-977-6546,2261227,0016000000flrSUAAY
Dreamhost,"Technology, Information and Internet",51-200,CA,https://www.dreamhost.com/,+1 714-408-1372,113790,0016000000UiA6xAAF
Mark Realty LLC,Real Estate,1001-5000,NJ,http://www.realtymarkllc.com,+1 856-457-4900,4773258,0010d00001JSSLYAA5
"Associated Agencies, Inc.",Insurance,51-200,IL,http://www.associated.cc,+1 847-427-8400,251160,0016000000husYqAAI
Joor,"Technology, Information and Internet",51-200,NY,http://www.joor.com,+1 212-673-3970,1982654,0016000000hxj89AAA
"OEP Capital Advisors, L.P.",Venture Capital and Private Equity Principals,10001+,NY,http://www.oneequity.com,+1 212-277-1500,47363,0016000000j6YmAAAU
1007937 Ontario Inc,Events Services,10-Feb,ON,http://odysseymedical.ca,+1 866-335-7600,10310564,0010d00001JkwmkAAB
i3 Broadband,Telecommunications,51-200,IL,http://www.i3broadband.com,+1 309-689-0711,22298142,0010d00001Jn4pUAAR
"FCI Constructors, Inc.",Construction,201-500,CO,http://www.fciol.com,+1 970-434-9093,812161,0016000000lboQrAAI
